Ranking	First_Name	Last_Name	Country	Career_Prize_Money
1	Novak	Djokovic	SRB	78397032
2	Roger	Federer	SUI	90231144
3	Andy	Murray	GBR	37257669
4	Tomas	Berdych	CZE	21944642
5	Kei	Nishikori	JPN	9567908
6	Milos	Raonic	CAN	8214239
7	Rafael	Nadal	ESP	72745277
8	David	Ferrer	ESP	26394492
9	Stan	Wawrinka	SUI	15790548
10	Marin	Cilic	CRO	11510021
11	Grigor	Dimitrov	BUL	5361868
12	Feliciano	Lopez	ESP	10202486
13	Gilles	Simon	FRA	9554808
14	Gael	Monfils	FRA	8734568
15	Jo-Wilfried	Tsonga	FRA	14659949
16	John	Isner	USA	7724767
17	Kevin	Anderson	RSA	5240258
18	David	Goffin	BEL	1945503
19	Tommy	Robredo	ESP	12299374
20	Roberto	Bautista Agut	ESP	2844559
21	Richard	Gasquet	FRA	11382623
22	Leonardo	Mayer	ARG	3229621
23	Pablo	Cuevas	URU	3116494
24	Guillermo	Garcia-Lopez	ESP	5603670
25	Ivo	Karlovic	CRO	6036692
26	Bernard	Tomic	AUS	2879787
27	Fabio	Fognini	ITA	6080728
28	Philipp	Kohlschreiber	GER	8090387
29	Ernests	Gulbis	LAT	5332899
30	Nick	Kyrgios	AUS	1244967
31	Dominic	Thiem	AUT	1292184
32	Adrian	Mannarino	FRA	2257179
33	Viktor	Troicki	SRB	5058745
34	Fernando	Verdasco	ESP	11814932
35	Juan	Monaco	ARG	7355861
36	Martin	Klizan	SVK	2415574
37	Jack	Sock	USA	2100534
38	Sam	Querrey	USA	6011459
39	Andreas	Seppi	ITA	6684421
40	Thomaz	Bellucci	BRA	3640240
41	Jiri	Vesely	CZE	1011969
42	Pablo	Andujar	ESP	3840734
43	Lukas	Rosol	CZE	2935983
44	Joao	Sousa	POR	1847663
45	Jeremy	Chardy	FRA	4866691
46	Borna	Coric	CRO	515672
47	Julien	Benneteau	FRA	7674742
48	Benjamin	Becker	GER	3660314
49	Victor	Estrella Burgos	DOM	879634
50	Jerzy	Janowicz	POL	2982423
51	Andreas	Haider-Maurer	AUT	1299225
52	Donald	Young	USA	2309083
53	Vasek	Pospisil	CAN	2577966
54	Sergiy	Stakhovsky	UKR	3723094
55	Gilles	Muller	LUX	2769264
56	Steve	Johnson	USA	1315440
57	Marcel	Granollers	ESP	6947524
58	Mikhail	Kukushkin	KAZ	2363517
59	Marcos	Baghdatis	CYP	6235051
60	Simone	Bolelli	ITA	3648468
61	Pablo	Carreno Busta	ESP	1061748
62	Diego	Schwartzman	ARG	653782
63	Albert	Ramos-Vinolas	ESP	2091324
64	Santiago	Giraldo	COL	3382794
65	Yen-Hsun	Lu	TPE	3624891
66	Daniel	Gimeno-Traver	ESP	2694017
67	Dusan	Lajovic	SRB	982570
68	Mikhail	Youzhny	RUS	12513546
69	Alexandr	Dolgopolov	UKR	4869159
70	Hyeon	Chung	KOR	150911
71	Benoit	Paire	FRA	2362230
72	Sam	Groth	AUS	991885
73	Tim	Smyczek	USA	1073951
74	Teymuraz	Gabashvili	RUS	2932724
75	Aljaz	Bedene	GBR	817679
76	Steve	Darcis	BEL	1990923
77	Denis	Istomin	UZB	3766761
78	Joao	Souza	BRA	953349
79	Blaz	Kavcic	SLO	1353515
80	Robin	Haase	NED	3293957
81	Marsel	Ilhan	TUR	971560
82	Federico	Delbonis	ARG	1451921
83	James	Duckworth	AUS	639876
84	Thanasi	Kokkinakis	AUS	377803
85	Malek	Jaziri	TUN	978623
86	Paolo	Lorenzi	ITA	1873387
87	Jarkko	Nieminen	FIN	7553811
88	Damir	Dzumhur	BIH	380938
89	Alexander	Zverev	GER	277980
90	Lucas	Pouille	FRA	395952
91	Dudi	Sela	ISR	2455780
92	Go	Soeda	JPN	1357880
93	Ricardas	Berankis	LTU	1167602
94	Lukas	Lacko	SVK	2022731
95	Ruben	Bemelmans	BEL	747192
96	Facundo	Bagnis	ARG	469815
97	Blaz	Rola	SLO	431153
98	Jan-Lennard	Struff	GER	941462
99	Filip	Krajinovic	SRB	464886
100	Marinko	Matosevic	AUS	1870967
101	Dustin	Brown	GER	1491509
102	Luca	Vanni	ITA	261054
103	Norbert	Gombos	SVK	210408
104	James	Ward	GBR	822424
105	Alejandro	Gonzalez	COL	798795
106	Tatsuma	Ito	JPN	922215
107	Kimmer	Coppejans	BEL	120382
108	Lleyton	Hewitt	AUS	20534929
109	Alejandro	Falla	COL	2850306
110	Jurgen	Melzer	AUT	9540705
111	Carlos	Berlocq	ARG	3236003
112	Adrian	Menendez-Maceiras	ESP	559137
113	Guido	Pella	ARG	598553
114	Maximo	Gonzalez	ARG	1488678
115	Aleksandr	Nedovyesov	KAZ	552090
116	Nicolas	Mahut	FRA	4522208
117	Tobias	Kamke	GER	1896126
118	Austin	Krajicek	USA	357815
119	Ivan	Dodig	CRO	4037104
120	Andrey	Kuznetsov	RUS	1142258
121	Kyle	Edmund	GBR	260759
122	Marco	Cecchinato	ITA	229159
123	Edouard	Roger-Vasselin	FRA	3611076
124	Matthias	Bachinger	GER	1067524
125	Paul-Henri	Mathieu	FRA	5360704
126	Ryan	Harrison	USA	1814183
127	Illya	Marchenko	UKR	1004728
128	Farrukh	Dustov	UZB	407643
129	Radek	Stepanek	CZE	10330010
130	Radu	Albot	MDA	317612
131	Alexander	Kudryavtsev	RUS	685362
132	John	Millman	AUS	314627
133	Thiemo	de Bakker	NED	1441346
134	Daniel	Munoz-De La Nava	ESP	778714
135	Andrey	Golubev	KAZ	2482320
136	Denis	Kudla	USA	749718
137	Facundo	Arguello	ARG	316692
138	Michal	Przysiezny	POL	1248905
139	Kenny	De Schepper	FRA	1087784
140	Andre	Ghem	BRA	380399
141	Jurgen	Zopp	EST	616598
142	Horacio	Zeballos	ARG	2177797
143	Pierre-Hugues	Herbert	FRA	677276
144	Peter	Gojowczyk	GER	599281
145	Michael	Berrer	GER	2434013
146	Yoshihito	Nishioka	JPN	113153
147	Rajeev	Ram	USA	2237922
148	Yuichi	Sugita	JPN	497438
149	Bjorn	Fratangelo	USA	87057
150	Konstantin	Kravchuk	RUS	511509
151	Jimmy	Wang	TPE	1092463
152	Gastao	Elias	POR	428120
153	Jared	Donaldson	USA	127336
154	Nicolas	Almagro	ESP	9328604
155	Albert	Montanes	ESP	5565769
156	Yuki	Bhambri	IND	274733
157	James	McGee	IRL	225153
158	Niels	Desein	BEL	319702
159	Frank	Dancevic	CAN	1670037
160	Nikoloz	Basilashvili	GEO	177817
161	Jason	Kubler	AUS	111315
162	John-Patrick	Smith	AUS	346134
163	Gerald	Melzer	AUT	248684
164	Inigo	Cervantes	ESP	350799
165	Andreas	Beck	GER	1501487
166	Igor	Sijsling	NED	1821255
167	Marton	Fucsovics	HUN	193027
168	Taro	Daniel	JPN	208906
169	Somdev	Devvarman	IND	1399294
170	Renzo	Olivo	ARG	175625
171	Hiroki	Moriya	JPN	331600
172	Guilherme	Clezar	BRA	260400
173	Aslan	Karatsev	RUS	107795
174	Maxime	Authom	BEL	275919
175	Elias	Ymer	SWE	130404
176	Liam	Broady	GBR	94160
177	Evgeny	Donskoy	RUS	954565
178	Roberto	Carballes Baena	ESP	176242
179	Thomas	Fabbiano	ITA	318664
180	Guido	Andreozzi	ARG	222699
181	Nicolas	Jarry	CHI	59612
182	Chase	Buchanan	USA	191516
183	Ze	Zhang	CHN	461498
184	Dennis	Novikov	USA	117510
185	Adam	Pavlasek	CZE	78623
186	Victor	Hanescu	ROU	4297051
187	Andrea	Arnaboldi	ITA	357805
188	Adrian	Ungur	ROU	840986
189	Pere	Riba	ESP	1247787
190	Ruben	Ramirez Hidalgo	ESP	2227668
191	Matthew	Ebden	AUS	1508194
192	Andrej	Martin	SVK	346501
193	Giovanni	Lapentti	ECU	522367
194	Jose	Hernandez-Fernandez	DOM	67756
195	Roberto	Marcora	ITA	88766
196	Brydan	Klein	GBR	328155
197	Potito	Starace	ITA	3788748
198	Jan	Hernych	CZE	2117560
199	Tim	Puetz	GER	209365
200	Mathias	Bourgue	FRA	80205
201	Hans	Podlipnik-Castillo	CHI	200799
202	Marius	Copil	ROU	555308
203	Saketh	Myneni	IND	85987
204	Jozef	Kovalik	SVK	102584
205	Vincent	Millot	FRA	465126
206	Jarmere	Jenkins	USA	111570
207	Mirza	Basic	BIH	174498
208	Andrey	Rublev	RUS	96362
209	Germain	Gigounon	BEL	123099
210	Jesse	Huta Galung	NED	916576
211	Jason	Jung	USA	74065
212	Aldin	Setkic	BIH	178689
213	Ti	Chen	TPE	342507
214	Christian	Lindell	SWE	126460
215	Matteo	Donati	ITA	83010
216	Enzo	Couacaud	FRA	58701
217	Filippo	Volandri	ITA	3878022
218	Rui	Machado	POR	884893
219	Gianni	Mina	FRA	104996
220	Luke	Saville	AUS	242386
221	Jan	Mertl	CZE	483622
222	Yannick	Mertens	BEL	281877
223	Bradley	Klahn	USA	554092
224	Matteo	Viola	ITA	473932
225	Maxime	Hamou	FRA	31415
226	Pedro	Cachin	ARG	38119
227	Karen	Khachanov	RUS	80569
228	Jaroslav	Pospisil	CZE	490249
229	Boy	Westerhof	NED	209324
230	Benjamin	Mitchell	AUS	218996
231	Tsung-Hua	Yang	TPE	304566
232	Nicolas	Kicker	ARG	44335
233	Laurent	Lokoli	FRA	120115
234	Edward	Corrie	GBR	113183
235	Remi	Boutillier	FRA	36723
236	Tristan	Lamasine	FRA	71730
237	Fabiano	De Paula	BRA	133121
238	Mohamed	Safwat	EGY	143268
239	Antonio	Veic	CRO	549866
240	Jordi	Samper-Montana	ESP	141587
241	Dennis	Novak	AUT	49551
242	Daniel	Nguyen	USA	54760
243	Jonathan	Eysseric	FRA	329214
244	Henrique	Cunha	BRA	49367
245	Egor	Gerasimov	BLR	96692
246	Tomislav	Brkic	BIH	84476
247	Laslo	Djere	SRB	48920
248	Dzmitry	Zhyrmont	BLR	124203
249	David	Guez	FRA	632752
250	Jules	Marie	FRA	74006
251	Yannick	Jankovits	FRA	55240
252	Darian	King	BAR	56409
253	Uladzimir	Ignatik	BLR	340811
254	Jordan	Thompson	AUS	130480
255	Peter	Torebko	GER	153707
256	Riccardo	Bellotti	ITA	75775
257	Juan Carlos	Saez	CHI	62450
258	Ramkumar	Ramanathan	IND	72493
259	Nils	Langer	GER	118690
260	Michael	Russell	USA	2435057
261	Alex	Bolt	AUS	201234
262	Christian	Garin	CHI	61756
263	Oriol	Roca Batalla	ESP	66833
264	Hugo	Dellien	BOL	59566
265	Lamine	Ouahab	MAR	403973
266	Mate	Delic	CRO	144860
267	Enrique	Lopez-Perez	ESP	148177
268	Nicolas	Barrientos	COL	151710
269	Marco	Trungelliti	ARG	176220
270	Gianluca	Naso	ITA	365440
271	Connor	Smith	USA	34054
272	Alex	Kuznetsov	USA	885849
273	Frederik	Nielsen	DEN	820050
274	Liang-Chi	Huang	TPE	116515
275	Frederico Ferreira	Silva	POR	45035
276	Ante	Pavic	CRO	264029
277	Juan Ignacio	Londero	ARG	113967
278	Federico	Gaio	ITA	90436
279	Denys	Molchanov	UKR	321523
280	Grzegorz	Panfil	POL	164121
281	Takuto	Niki	JPN	65968
282	Andres	Molteni	ARG	236449
283	Alexis	Musialek	FRA	43188
284	Pedja	Krstin	SRB	69118
285	Henri	Laaksonen	SUI	190922
286	Dusan	Lojda	CZE	293158
287	Frances	Tiafoe	USA	43367
288	Arthur	De Greef	BEL	103210
289	Franko	Skugor	CRO	271416
290	Mitchell	Krueger	USA	71943
291	Yasutaka	Uchiyama	JPN	132505
292	Julien	Cagnina	BEL	37543
293	Dimitar	Kutrovsky	BUL	69925
294	Janez	Semrajc	SLO	67543
295	Daniel	Cox	GBR	228962
296	Quentin	Halys	FRA	44382
297	Gonzalo	Escobar	ECU	39685
298	Marek	Michalicka	CZE	83278
299	Miljan	Zekic	SRB	88573
300	Gregoire	Barrere	FRA	35392
301	Di	Wu	CHN	323229
302	Antal	Van Der Duim	NED	153701
303	David	Perez Sanz	ESP	48792
304	Dimitar	Kuzmanov	BUL	39019
