0,SUI,Switzerland
1,CRO,Croatia
2,BUL,Bulgaria
3,RSA,South Africa
4,URU,Uruguay
5,GER,Germany
6,LAT,Latvia
7,POR,Portugal
8,TPE,Taipei
9,SLO,Slovenia
10,NED,Netherlands
11,CHI,Chile
12,BAR,Barbados
13,DEN,Denmark
14,ESA,El Salvador
15,MON,Monaco
16,ZIM,Zimbabwe
17,GUA,Guatemala
18,INA,Indonesia
19,GRE,Greece
20,CRC,Costa Rica
21,PHI,Philipines
22,NGR,Nigeria
23,VIE,Vietnam
24,PUR,Puerto Rico
25,IRI,Iran
26,ALG,Algeria
27,TOG,Togo
28,MAD,Madagascar
29,UAE,United Arab Emirates
30,MAS,Malaysia
31,SRI,Sri Lanka
32,KUW,Kuwait
33,SIN,Singapore
